R1,L1,R2,L2,R3,L3,R4,L4,R5,L5,R6,L6,Status
92,86.48,38,61.18,89,82.77,68,66.64,91,89.18,89,86.33,Abnormal
30,30,17,16.83,67,67,29,43.79,47,68.62,67,66.33,Risk
24,35.04,88,92.4,79,83.74,62,107.26,44,45.76,38,0.76,Risk
94,172.02,56,53.2,29,26.97,77,73.92,59,60.77,86,92.02,Abnormal
91,95.55,37,35.89,82,37.72,6,1.38,51,49.98,81,81,Risk
18,19.8,90,90,75,79.5,29,33.64,43,43,89,88.11,Risk
14,14.84,58,49.88,51,27.54,33,33,14,15.12,44,40.92,Risk
33,33,12,14.52,3,3.27,66,108.9,83,151.89,67,21.44,Risk
8,1.2,57,95.19,89,85.44,72,69.12,37,37,33,36.3,Abnormal
54,49.68,47,45.59,26,24.44,84,39.48,47,42.3,45,9.9,Risk
72,73.44,51,47.43,51,51,8,8,13,24.96,56,57.68,Risk
13,8.58,72,69.84,68,61.2,85,116.45,6,11.46,50,49,Risk
43,43.86,29,51.33,41,56.17,69,34.5,31,29.45,67,48.91,Risk
23,17.71,37,52.17,61,59.17,53,51.94,91,12.74,51,51,Risk
76,75.24,35,36.05,84,140.28,49,51.45,11,17.6,45,46.35,Risk
94,35.72,73,78.84,51,50.49,91,100.1,83,23.24,44,42.68,Risk
69,73.14,34,37.06,93,36.27,73,68.62,81,79.38,1,1.1,Risk
64,65.92,82,84.46,13,13.13,35,38.5,7,7,53,55.65,Abnormal
86,122.12,91,93.73,70,15.4,81,87.48,54,75.06,91,81.9,Risk
27,27.27,90,87.3,73,21.17,27,5.4,94,94,77,120.12,Risk
70,71.4,28,22.68,77,57.75,50,21,59,59,57,33.63,Risk
26,24.96,19,27.93,56,103.04,17,4.25,51,69.87,77,76.23,Risk
66,7.92,36,29.16,4,4.16,88,69.52,72,74.88,41,43.46,Risk
96,15.36,51,55.59,20,37.2,67,67,1,0.35,79,103.49,Risk
71,35.5,16,16,67,65.66,10,0,76,78.28,44,47.08,Risk
27,24.3,80,150.4,46,46,27,28.08,28,27.16,17,17,Abnormal
27,27,22,22.88,9,4.32,46,46,15,14.55,52,55.12,Risk
5,4,43,42.57,13,11.7,54,56.16,61,64.66,95,31.35,Abnormal
5,4.95,7,8.12,53,55.12,8,7.52,77,74.69,27,26.46,Abnormal
75,71.25,93,94.86,36,38.52,37,14.8,88,87.12,22,19.14,Risk
90,89.1,66,25.08,68,66.64,70,77,78,80.34,38,37.24,Abnormal
27,25.65,20,26.8,7,7.14,3,2.94,10,2,33,5.61,Risk
17,21.76,31,30.69,74,68.08,61,120.78,35,36.05,15,14.55,Risk
21,19.53,21,29.82,35,53.55,58,38.28,50,49,93,95.79,Risk
43,34.83,55,53.9,92,143.52,4,1.64,80,80.8,60,55.8,Risk
49,48.02,23,10.35,3,3.3,73,66.43,2,2.02,8,1.12,Abnormal
21,35.91,90,93.6,71,77.39,90,94.5,44,81.4,42,43.26,Risk
44,45.76,71,76.68,4,1.12,85,80.75,23,27.6,46,41.86,Risk
92,93.84,79,54.51,11,10.67,69,66.93,9,9.18,73,0.73,Normal
8,8,58,52.78,82,136.12,82,82,65,61.75,86,92.88,Risk
3,3,85,156.4,79,82.95,9,8.73,25,14.75,75,77.25,Risk
62,14.88,82,160.72,59,98.53,16,16,73,71.54,83,75.53,Risk
75,69.75,18,28.08,19,37.81,47,48.41,32,34.24,65,96.85,Risk
63,63,45,46.35,35,36.05,15,13.95,17,18.36,23,36.34,Abnormal
4,3.96,94,6.58,95,103.55,5,0.25,69,116.61,47,50.76,Risk
62,62.62,19,35.91,29,26.97,75,77.25,26,24.96,32,30.4,Abnormal
22,22.44,76,96.52,34,35.36,50,47.5,27,24.84,5,5.05,Abnormal
6,5.82,1,1.07,57,57.57,56,84.56,2,1.14,41,39.77,Risk
27,0.27,63,4.41,1,0.98,7,12.6,39,36.66,95,49.4,Risk
49,44.59,86,86,44,1.76,63,84.42,39,39,28,31.92,Risk
79,91.64,25,12.5,95,104.5,32,34.24,61,57.95,14,12.6,Abnormal
40,40.8,22,21.56,16,15.52,72,72,74,72.52,3,0.84,Normal
16,16.16,5,4.85,26,26.26,58,74.24,57,52.44,48,50.88,Risk
45,44.1,88,90.64,78,76.44,57,62.7,4,3.64,12,12.84,Abnormal
15,27.3,39,38.61,43,33.54,66,71.94,4,1.76,6,5.88,Risk
79,74.26,83,80.51,51,67.32,13,14.95,62,63.24,74,41.44,Risk
30,27,46,44.16,85,89.25,50,50,51,53.04,13,14.04,Abnormal
92,51.52,54,70.74,88,80.96,87,79.17,70,15.4,50,49.5,Risk
66,104.28,82,81.18,58,59.74,84,88.2,60,67.2,57,60.99,Risk
91,94.64,69,75.21,72,66.96,60,66,54,52.92,14,18.76,Abnormal
1,0.89,41,40.59,42,42.42,46,49.22,45,46.35,14,13.86,Abnormal
83,87.98,87,86.13,28,28,43,39.56,40,40.4,66,62.04,Abnormal
67,33.5,86,89.44,5,2.15,70,86.1,75,70.5,61,34.77,Risk
76,79.8,39,11.31,68,61.2,9,9.63,47,50.76,35,33.25,Abnormal
67,65.66,69,91.77,33,29.7,74,68.82,43,23.65,69,73.14,Risk
50,74.5,5,4.85,89,89,28,13.72,29,29.29,63,64.26,Risk
73,69.35,94,91.18,78,81.12,69,70.38,13,4.29,14,14.56,Risk
24,12.72,75,73.5,68,67.32,76,95,23,23.92,88,84.48,Risk
62,58.28,77,73.92,40,43.6,39,39.39,85,21.25,26,26.52,Risk
49,70.07,70,73.5,40,39.6,65,66.3,3,3.09,93,101.37,Abnormal
26,16.38,41,37.72,42,37.8,55,50.05,95,117.8,83,83,Risk
64,65.92,54,53.46,75,100.5,24,20.64,7,6.86,69,29.67,Risk
42,43.68,2,2.08,95,76.95,75,112.5,51,54.57,67,67,Risk
45,45,44,40.48,88,81.84,89,82.77,49,47.53,94,98.7,Abnormal
70,67.9,42,70.56,44,42.24,31,57.66,69,71.07,74,37.74,Risk
47,45.59,92,94.76,64,54.4,26,29.12,4,5.96,95,86.45,Risk
51,54.06,59,25.37,3,4.83,41,41.41,52,34.32,24,41.04,Risk
5,4.55,65,59.15,90,108,37,35.89,90,85.5,9,5.67,Risk
34,59.5,35,2.1,74,77.7,2,1.94,66,66,52,46.8,Abnormal
94,99.64,21,20.16,62,97.96,69,70.38,2,1.9,22,35.2,Risk
50,47,7,7.28,32,32.6,41,42.23,61,60.39,40.803,38.86,Abnormal
50,78.5,26,26.26,77,79.31,2,3.44,82,149.24,20,21.8,Risk
59,53.1,5,9.65,31,0,48,84,58,59.16,69,72.45,Risk
27,28.35,3,3.57,68,73.44,93,85.56,4,4.04,18,1.26,Abnormal
90,145.8,38,38.76,48,50.4,59,62.54,19,19.76,90,36,Abnormal
92,144.44,88,12.32,22,22.66,36,36.72,1,0.13,28,40.04,Risk
9,9.54,34,32.64,5,4.05,46,43.24,56,57.12,47,43.71,Risk
86,85.14,30,59.4,36,40.68,40,35.6,87,18.27,21,21.21,Risk
56,55.44,74,68.82,51,89.25,87,86.13,91,89.18,41,37.72,Risk
94,96.82,1,0.98,7,7.28,30,30.3,43,43,2,3.76,Abnormal
27,24.84,1,0.9,71,48.99,91,164.71,58,53.36,41,41.41,Risk
42,42,6,6.12,65,105.95,3,3.06,20,19.6,93,85.56,Risk
86,87.72,57,52.44,76,72.96,55,63.25,33,34.98,48,33.12,Risk
79,76.63,74,77.7,14,13.58,60,80.4,8,15.36,29,29,Risk
41,27.06,76,36.48,3,2.94,77,77,70,74.9,66,66,Abnormal
21,0.42,6,6.42,41,40.18,38,39.14,29,26.97,71,71.71,Abnormal
17,17.34,69,68.31,75,92.25,48,66.24,64,66.56,58,63.22,Risk
26,25.48,90,166.5,15,16.05,27,27,96,72.96,54,54,Risk
49,51.94,85,87.55,22,23.54,48,12.48,7,3.64,70,68.6,Risk
44,47.96,17,15.13,82,80.36,64,113.92,61,61,73,73,Risk
52,84.76,82,78.72,94,96.82,54,63.18,20,19.6,22,20.68,Risk
49,77.42,78,75.66,1,1.41,8,8.64,87,169.65,18,17.46,Risk
57,71.82,76,44.08,17,17.17,70,42.7,49,50.96,35,32.2,Risk
84,165.48,66,130.02,16,16,42,42.42,55,2.2,63,61.11,Risk
95,104.5,57,83.79,76,76,59,64.9,1,0.96,63,113.4,Abnormal
41,50,3,1.56,62,61.38,54,53.5,47,48,82,90,Risk
11,5.94,80,86.4,42,26.04,31,23.87,10,6.3,89,96.12,Risk
38,41.42,60,54.6,65,64.35,3,3.27,93,35.34,49,75.46,Risk
68,72.08,18,25,17,17,6,5.82,32,33,66,75,Risk
78,71.76,20,21.8,31,31.62,19,19,16,15.04,4,4.4,Abnormal
33,35.31,18,8.46,44,41.8,26,23.92,24,43.92,43,79.55,Risk
75,75,66,32.34,78,150.54,48,45.12,25,23.75,20,4.2,Risk
69,68.31,30,3.6,27,42.12,42,45.78,14,15.4,90,86.4,Risk
93,93.93,17,4.08,73,83.22,51,52.02,15,15,70,70,Risk
88,92.4,77,70.84,72,75.6,25,27.25,30,51.3,25,2,Risk
96,82,94,80,3,2.99,64,65,29,28.5,10,11,Risk
93,144.15,8,8,33,35.64,31,31,34,8.84,40,40.8,Risk
12,11.76,88,93.28,86,147.92,19,17.48,91,93.73,2,2.02,Risk
87,80.91,80,86.4,82,75.44,78,121.68,64,64,39,36.66,Risk
57,5.13,24,25.2,45,71.1,18,18.9,24,24.72,19,12.54,Risk
62,57.04,19,1.14,39,37.83,49,52.92,63,63.63,67,65.66,Abnormal
71,64.61,66,67.98,68,70.04,40,39.6,78,73.32,33,33.99,Abnormal
10,1.2,72,72,24,38.64,83,83,5,5.45,42,41.16,Risk
56,61.6,11,11,26,27.82,30,32.4,80,88,8,7.04,Abnormal
64,23.68,86,85.14,48,48.96,19,20.33,86,84.28,82,79.54,Abnormal
46,46.92,15,10.5,87,43.5,13,3.25,53,50.88,17,17,Risk
61,65.27,30,11.4,64,58.88,16,17.6,17,32.98,91,91,Risk
61,61,57,52.44,4,4.4,26,5.98,65,63.05,41,42.23,Risk
86,81.7,10,1.8,89,84.55,13,12.48,95,92.15,6,8.16,Abnormal
11,11.22,53,48.76,43,41.71,60,58.8,64,58.24,27,26.73,Abnormal
17,6.12,53,54.59,58,56.26,14,15.12,75,70.5,42,49.14,Abnormal
93,96.72,60,54.6,16,3.36,89,107.69,25,23,6,5.76,Risk
39,41.34,69,6.9,67,73.7,2,1.98,90,90.9,48,22.56,Abnormal
41,41.82,92,82.8,72,72,40,41.2,16,16,28,22.68,Normal
71,98.69,55,50.6,62,34.1,55,96.25,94,150.4,21,20.58,Risk
43,66.22,26,25.48,61,17.08,67,50.25,2,0.32,62,62,Risk
56,57.12,40,40.4,55,56.65,68,63.92,48,35.04,44,46.64,Risk
81,81.81,74,72.52,94,91.18,35,37.8,65,59.8,65,61.1,Abnormal
77,93.17,29,54.23,30,27,6,6.06,4,3.52,93,97.65,Risk
85,117.3,40,40.4,11,19.36,35,36.05,5,8.45,36,72,Risk
74,71.04,41,42.64,93,87.42,21,19.95,12,14.76,81,55.08,Risk
64,62.08,24,40.08,93,93.93,19,19,31,18.6,38,55.48,Risk
19,19.57,51,46.41,27,28.62,34,37.06,80,79.2,87,93.96,Abnormal
68,65.96,79,85.32,65,69.55,5,4.85,34,20.4,17,17.17,Risk
21,20.79,13,21.71,17,32.3,8,0.64,64,70.4,81,93.96,Risk
